# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.228573567861135416e+02 -2.760783202310991058e+01 5.215143339029357783e+00 3.729688911046159774e+02 9.066584526531323718e+01 1.966353342045761394e+02 4.243161018529008288e+03 6.974184201429238783e+02 -8.940000000000000568e+01 7.366760482643595897e+05 6.924695690312015586e+02 4.082014054913117889e+02
1.000000000000000000e+00 1.228641519307210785e+02 -2.761517774377140100e+01 2.861767530703346996e+00 3.648195842052992930e+02 8.925783112032033273e+01 2.016430117129956159e+02 4.100750762689043768e+03 8.143721063828460274e+02 -8.940000000000000568e+01 2.000684857279188000e+05 8.082966471416074228e+02 5.518101032440597464e+02
2.000000000000000000e+00 1.228623348513097824e+02 -2.761633061080307883e+01 4.312115843167227069e+00 3.682304205547633273e+02 9.053915074411065689e+01 1.901503816949543193e+02 4.079078059089965791e+03 7.830081800749039758e+02 -8.940000000000000568e+01 2.849962250979924574e+06 7.763910273307254784e+02 5.738222471887953589e+02
3.000000000000000000e+00 1.228466482737840693e+02 -2.762070549296428723e+01 4.528923477151935550e+00 3.693708654527121098e+02 8.924557075148621266e+01 1.863627839344837867e+02 3.993737229218584162e+03 5.096532600965874167e+02 -8.940000000000000568e+01 1.531909000222603083e+08 5.026400469530732380e+02 6.557666383594411172e+02
4.000000000000000000e+00 1.228467669536859859e+02 -2.762567888046072895e+01 2.807253757229270175e+00 3.648096205200023974e+02 9.046456362905978210e+01 1.902802185414955147e+02 3.897343851157380868e+03 5.115562583496213165e+02 -8.940000000000000568e+01 1.615841199645355809e+05 5.032233996932292825e+02 7.521786507320301780e+02
5.000000000000000000e+00 1.228698653110753867e+02 -2.762782030813607292e+01 2.967128604862718344e+00 3.646903940599559633e+02 8.934393262599718355e+01 2.009265330399270795e+02 3.856028444552770452e+03 9.124237515993545458e+02 -8.940000000000000568e+01 3.481130319275523070e+05 9.037268871243209105e+02 7.978861986040795955e+02
6.000000000000000000e+00 1.228466422354843104e+02 -2.762571925498733449e+01 2.823379528164647212e+00 3.599025827082099340e+02 9.037487382783406531e+01 1.911316364445050624e+02 3.896338319414981470e+03 5.092681803167827184e+02 -8.940000000000000568e+01 1.580487727124688681e+05 5.010454340403385913e+02 7.529386629670070761e+02
7.000000000000000000e+00 1.228858450561072431e+02 -2.763496409030457812e+01 4.072269062904636527e+00 3.675501110476117788e+02 8.943048263450100421e+01 1.999431537887106742e+02 3.716864252727202256e+03 1.189612678938732643e+03 -8.940000000000000568e+01 2.271593898583967239e+06 1.179074154415551220e+03 9.392937560742594769e+02
8.000000000000000000e+00 1.228512787779912827e+02 -2.763385303315324393e+01 3.966880104301095944e+00 3.658454447209032310e+02 9.035733124336248068e+01 1.917488734823589880e+02 3.738519955821257099e+03 5.894239055561793066e+02 -8.940000000000000568e+01 1.312977400358526967e+06 5.791450086690907710e+02 9.114194072477467898e+02
9.000000000000000000e+00 1.228408241662337161e+02 -2.763319053116583746e+01 3.730378666704081247e+00 3.643222012191596946e+02 8.936660313134983369e+01 1.998640206070678573e+02 3.751865793852309253e+03 4.080385361768318262e+02 -8.940000000000000568e+01 7.560262384561898652e+05 3.977906651147270054e+02 8.966942872136785354e+02
