# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 9.534347005734744585e+01 3.998916047800720008e+01 5.899711305324933264e+00 1.762901516698275373e+02 9.045679230710626939e+01 6.425155842558261554e+01 6.771759222510203244e+02 1.224729007324668828e+03 3.650000000000000000e+01 1.695335795826579910e+06 5.631088933650870558e+02 3.767622104338987015e+02
1.000000000000000000e+00 9.542786839421879108e+01 3.999010110109248473e+01 1.056871272680744589e+01 1.896081633529594512e+02 8.960002240671938978e+01 6.444285657899052921e+01 1.674388870772999326e+03 4.642267522269913229e+02 3.650000000000000000e+01 1.413773943299419247e+06 1.816063741534695055e+03 3.592839879416537769e+02
2.000000000000000000e+00 9.532701870484672213e+01 3.999170471449368591e+01 9.889580719017075694e+00 1.894820494377630098e+02 9.089615755082034809e+01 6.411758322213114525e+01 4.515458252197774982e+02 1.331045397517690162e+03 3.650000000000000000e+01 1.372866756394475466e+06 3.190467617608848059e+02 3.273834727476569242e+02
3.000000000000000000e+00 9.537526964584824896e+01 3.999345293223681352e+01 4.808000431371915795e+00 1.735652191041468768e+02 8.949590310783722202e+01 6.447954688291278558e+01 1.007779772961367257e+03 8.770727736897671321e+02 3.650000000000000000e+01 4.621068469173884019e+06 1.035405879114029858e+03 2.943028055235166676e+02
4.000000000000000000e+00 9.532410450911534383e+01 3.999454552135926377e+01 1.270872491319268960e+01 1.997156251192125183e+02 9.091565371686547792e+01 6.407001695484396464e+01 3.844168369469568347e+02 1.313104970300118566e+03 3.650000000000000000e+01 1.563372411089458736e+06 2.759677017238440726e+02 2.724975963035141149e+02
5.000000000000000000e+00 9.537952257950739465e+01 3.999536315228947103e+01 8.157968551827011083e+00 1.798151137983425372e+02 8.945472526637465194e+01 6.464644286044232047e+01 1.036554878264263607e+03 8.095911761216763125e+02 3.650000000000000000e+01 1.584039957367064897e+06 1.098636510746545355e+03 2.574714136441493793e+02
6.000000000000000000e+00 9.542733229444613130e+01 3.999952635725173877e+01 6.856346482230517125e+00 1.787516449455591498e+02 9.085393458269184919e+01 6.405587762854018763e+01 1.559626979646196105e+03 3.236427340979951168e+02 3.650000000000000000e+01 1.581660466084690532e+06 1.808494931658840869e+03 1.773549298643066550e+02
7.000000000000000000e+00 9.532313990150466054e+01 3.998413068994681652e+01 4.757839357575953443e+00 1.728982677761093498e+02 8.960212098594332986e+01 6.443600199942717666e+01 4.923980309054887243e+02 1.481935604746955732e+03 3.650000000000000000e+01 4.957263412771216594e+06 2.609837819297330270e+02 4.735075173346907036e+02
8.000000000000000000e+00 9.535003875870917511e+01 3.999314131613102319e+01 9.094805817454082231e+00 1.962355353866334440e+02 8.937848260842497439e+01 6.498329252117370913e+01 7.102805374591807777e+02 1.104248263001246869e+03 3.650000000000000000e+01 1.126199341215153225e+06 6.608534914244504535e+02 3.000188496822621005e+02
9.000000000000000000e+00 9.534108893254047246e+01 3.998184081393926448e+01 5.020240695194656766e+00 1.734636193180079431e+02 9.105486414552316887e+01 6.394228821226411696e+01 7.323115231899779474e+02 1.360599979943004428e+03 3.650000000000000000e+01 3.104780729381830432e+06 5.273215425826133469e+02 5.180105974968079181e+02
