# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 5.318623331119962927e+01 -2.295186057998146723e+01 2.577625071974419591e+00 7.330618552176248670e+01 9.189735786684153140e+01 9.680836793680008157e+01 1.083567067193580442e+03 7.424618874985798129e+02 4.389999999999999858e+01 4.115372828804371879e+06 1.280446822464141860e+03 2.308580234074283339e+02
1.000000000000000000e+00 5.319111844632509900e+01 -2.296763426643306971e+01 4.701634920535632034e+00 7.998694686189962511e+01 8.999102625751278595e+01 9.725202754328853416e+01 1.360031262398988019e+03 9.019926764620486210e+02 4.389999999999999858e+01 3.373790642519518151e+05 1.369324139888187801e+03 5.370912913709966006e+02
2.000000000000000000e+00 5.314635233484459320e+01 -2.301158354094835801e+01 2.695123951903739989e+00 7.358291073726705633e+01 9.162638249234150578e+01 9.693411606560279381e+01 1.365019157686484277e+03 2.074615225467689925e+03 4.389999999999999858e+01 1.659021818722581491e+06 5.612684660747640919e+02 1.385065348425297543e+03
3.000000000000000000e+00 5.320546430786199466e+01 -2.301256700493610907e+01 3.157573115991423318e+00 7.498990599681899027e+01 9.002678933494314606e+01 9.715566094910612094e+01 2.152721179010783089e+03 1.349564405963845502e+03 4.389999999999999858e+01 8.762430898653641343e+05 1.630161699865193668e+03 1.409473862467607887e+03
4.000000000000000000e+00 5.322684640942604517e+01 -2.301167632143624076e+01 3.652145773194171774e+00 7.622332985069435551e+01 9.177702770755827544e+01 9.697852704263135593e+01 2.420842099818993120e+03 1.070738515227343896e+03 4.389999999999999858e+01 6.272766352415583096e+05 2.016761693548290168e+03 1.394245175185743392e+03
5.000000000000000000e+00 5.314432539399442135e+01 -2.303850128109833761e+01 5.297361092851130770e+00 8.054761508599183628e+01 9.165553230498002790e+01 9.693046935700569122e+01 1.701481033377359154e+03 2.475507033741439955e+03 4.389999999999999858e+01 7.551629646987430751e+05 5.256490367332115738e+02 1.906708065341187421e+03
6.000000000000000000e+00 5.320388073117197081e+01 -2.304209940472765794e+01 2.840650447379693855e+00 7.383843355791167085e+01 9.032323685176578465e+01 9.714034069317220599e+01 2.529663201494660825e+03 1.782339716139868415e+03 4.389999999999999858e+01 1.235924904852922773e+06 1.602422849537469574e+03 1.981823986025239037e+03
7.000000000000000000e+00 5.320055338817849844e+01 -2.304505050850140080e+01 2.750625062415090305e+00 7.344645020987493922e+01 9.158344936875340636e+01 9.696041646850488860e+01 2.525177032173790849e+03 1.865142830179185466e+03 4.389999999999999858e+01 1.588421366948849056e+06 1.542362698597146618e+03 2.038721326806147317e+03
8.000000000000000000e+00 5.319714523677782125e+01 -2.305877824356999284e+01 4.676095018627607125e+00 7.903061050909784058e+01 8.965429249165777037e+01 9.718198455955214854e+01 2.665807983750627955e+03 2.098581056856528448e+03 4.389999999999999858e+01 5.060284981379061937e+05 1.481180743365392573e+03 2.304522192485981577e+03
9.000000000000000000e+00 5.316696757476705670e+01 -2.307071109692726552e+01 2.596056419527546844e+00 7.294438652615855290e+01 9.202063361823184096e+01 9.683660844623773301e+01 2.431677096469103162e+03 2.642108869266081001e+03 4.389999999999999858e+01 3.376508176850966178e+06 9.361220615522056505e+02 2.533101339060004193e+03
