# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 4.794681894543235501e+01 1.882716307610233386e+01 4.101923195120322774e+00 2.543262446219874278e+02 8.990033445487939900e+01 1.777551078815079677e+02 1.888907668299229954e+03 1.199964288591377453e+03 6.370000000000000284e+01 3.195325355072994530e+07 1.457625257746816487e+03 1.385828092229812000e+03
1.000000000000000000e+00 4.789335083395975090e+01 1.881126198571016062e+01 8.912657555059707803e+00 2.709015800154966200e+02 8.984455975988221610e+01 1.793651713191964916e+02 1.721830511386935768e+03 2.210542565860146624e+03 6.370000000000000284e+01 5.316357707497097552e+06 4.795177504240538724e+02 1.682891280113426774e+03
2.000000000000000000e+00 4.791050491950077372e+01 1.876789138876012686e+01 4.762956717834143205e+00 2.566218098134694969e+02 8.998106455957429262e+01 1.792959002240393716e+02 2.618027927538273161e+03 2.304580252097608991e+03 6.370000000000000284e+01 8.718677737600067630e+06 7.921825387117404489e+02 2.528617553813255654e+03
3.000000000000000000e+00 4.790594235909077980e+01 1.876819986422822595e+01 1.042603722228867547e+01 2.851477025152603915e+02 8.995552405850200728e+01 1.792473214843856226e+02 2.574964473154571351e+03 2.375386185673201908e+03 6.370000000000000284e+01 4.390627786389632151e+06 7.087318983841172439e+02 2.521631050153045180e+03
4.000000000000000000e+00 4.791183489861990097e+01 1.877098570361822993e+01 1.142060905120247227e+01 2.950955426203972252e+02 8.985368372279070570e+01 1.793518882126719234e+02 2.575774775251153187e+03 2.256131940718675196e+03 6.370000000000000284e+01 5.096373099808094092e+06 8.165840833682949551e+02 2.468837759022127557e+03
5.000000000000000000e+00 4.791406168957712453e+01 1.877200767760825428e+01 1.114443885072597240e+01 2.936131019223435601e+02 8.996222710677652401e+01 1.795782896378812836e+02 2.575994830300735430e+03 2.211126680333532477e+03 6.370000000000000284e+01 4.760832699027781375e+06 8.573397725043043920e+02 2.449484054395709791e+03
6.000000000000000000e+00 4.790934268892922177e+01 1.876982727761845737e+01 1.109659592632480773e+01 2.874760456002317142e+02 8.993679460554554339e+01 1.792913914069820578e+02 2.575121814050829016e+03 2.306514088324363911e+03 6.370000000000000284e+01 4.767408137804653496e+06 7.709696455475310586e+02 2.490781882663882243e+03
7.000000000000000000e+00 4.790240806928583339e+01 1.874078799139049423e+01 4.404290838429920640e+00 2.558797407103409114e+02 8.985534822443236180e+01 1.787524277711704030e+02 3.022053177705442522e+03 2.670731381536966637e+03 6.370000000000000284e+01 1.515943005391550809e+07 6.434031297276388841e+02 3.053004800864280242e+03
8.000000000000000000e+00 4.792885672365322591e+01 1.870353871747122554e+01 5.974465556075109873e+00 2.598593016888024749e+02 8.995790890930523176e+01 1.793840511495975534e+02 3.889764553467537553e+03 2.559323134503752954e+03 6.370000000000000284e+01 6.223238427665982395e+06 1.126457862606971958e+03 3.781887599304861851e+03
9.000000000000000000e+00 4.792370486692387033e+01 1.869703736253288184e+01 6.543339196557158566e+00 2.617965604307465810e+02 8.984405116736863306e+01 1.791627299493251826e+02 3.959993021686393604e+03 2.700673182477364662e+03 6.370000000000000284e+01 5.273078142374652438e+06 1.032038747852827328e+03 3.906980077042958328e+03
1.000000000000000000e+01 4.792893714393862581e+01 1.870356959647912376e+01 5.974760516024735679e+00 2.598598215109364560e+02 8.996911111270016193e+01 1.794295457991608203e+02 3.889880538638585222e+03 2.558558873048370515e+03 6.370000000000000284e+01 6.222686273605330847e+06 1.127930132844627224e+03 3.781305569452394138e+03
1.100000000000000000e+01 4.789469309408179498e+01 1.867833513197507500e+01 5.265254526984734618e+00 2.583441204785125933e+02 8.976700199722257878e+01 1.790929638070333283e+02 4.044379785761261246e+03 3.334196225262923235e+03 6.370000000000000284e+01 6.523137059424366802e+06 5.006586949502191146e+02 4.263699738139485817e+03
1.200000000000000000e+01 4.792915153267631467e+01 1.870362112430585100e+01 5.973196336547860419e+00 2.598587644265846279e+02 9.004554108724929051e+01 1.795766762217249948e+02 3.891170121483881758e+03 2.554754636339143417e+03 6.370000000000000284e+01 6.220716511648402549e+06 1.131854311752332478e+03 3.780351702914962061e+03
