# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.250154408679857454e+02 5.690577671502541790e+01 2.718319825298463055e+00 6.605872476685976835e+02 8.967205437349225861e+01 1.690779011558815341e+02 8.608921446388189906e+02 8.480208235329275794e+02 8.870000000000000107e-01 4.021668437156807631e+05 8.476474980450941530e+02 8.273776709839359000e+02
1.000000000000000000e+00 1.250205786749551748e+02 5.691785555493194693e+01 2.082274972254992029e+00 6.580037979220370516e+02 9.002289311155327312e+01 1.664526066587704634e+02 8.044531791481846312e+02 1.083532891824071385e+03 8.870000000000000107e-01 2.553548869462038390e+06 7.880713326095770981e+02 1.062154705375142157e+03
2.000000000000000000e+00 1.250031015911675212e+02 5.691750326905603430e+01 2.086374701892068639e+00 6.582357253312341072e+02 8.966007126560897689e+01 1.690817702751150193e+02 9.899705443583704891e+02 1.075472337717597156e+03 8.870000000000000107e-01 2.334943586548608262e+06 9.735932652137980767e+02 1.056866390124002692e+03
3.000000000000000000e+00 1.249841744927021807e+02 5.696981292601944347e+01 3.343048868189424372e+00 6.470919161072004044e+02 8.999704267945912761e+01 1.666165426875274420e+02 1.184051770763575178e+03 2.093176457024368574e+03 8.870000000000000107e-01 1.840014362038658001e+05 1.151873612310448834e+03 2.077337847211246753e+03
4.000000000000000000e+00 1.250150082089677568e+02 5.695873174660462013e+01 2.779088788699527246e+00 6.570192415534136217e+02 8.973983212402590937e+01 1.690775432759610624e+02 8.591137501663376952e+02 1.879389066644184595e+03 8.870000000000000107e-01 4.041005936842677183e+05 8.299541034572545186e+02 1.858705317550336758e+03
5.000000000000000000e+00 1.249803088382998055e+02 5.697701453468409483e+01 5.431827483431194814e+00 6.600148635134731876e+02 8.999760116974098878e+01 1.750635417847988435e+02 1.224135334306739878e+03 2.233579135114329347e+03 8.870000000000000107e-01 9.101534093963541090e+04 1.189715598406850177e+03 2.217951226585899349e+03
6.000000000000000000e+00 1.249803949088144179e+02 5.698303604513997556e+01 3.254462904999691819e+00 6.576041367699473312e+02 8.975780736383867975e+01 1.690786559757433452e+02 1.222880059678773705e+03 2.350018576602449230e+03 8.870000000000000107e-01 3.982465120249297470e+05 1.186210736907150249e+03 2.335209101550115975e+03
7.000000000000000000e+00 1.249533529115300610e+02 5.700868226958923657e+01 2.062941818993671461e+00 6.533035945575279584e+02 9.000064670460734817e+01 1.668534059041149646e+02 1.505480797846704263e+03 2.848165651105556208e+03 8.870000000000000107e-01 5.009710340017966926e+06 1.461284594397354567e+03 2.837273468300411878e+03
8.000000000000000000e+00 1.249804002389287803e+02 5.698303491245866326e+01 3.421097365443065197e+00 6.586268957353098585e+02 8.975640974376322845e+01 1.690787812160097872e+02 1.222870002593202344e+03 2.350429547830160573e+03 8.870000000000000107e-01 4.143784311627252027e+05 1.186154789950263421e+03 2.335186538055964320e+03
9.000000000000000000e+00 1.249798687141777975e+02 5.699144811858464976e+01 1.147367552719761008e+01 6.706337932176452341e+02 8.941414328721823779e+01 1.672970020007123253e+02 1.227074200355573112e+03 2.513546807224089662e+03 8.870000000000000107e-01 8.804634569233004004e+05 1.188157782990870601e+03 2.499079804858656644e+03
1.000000000000000000e+01 1.250284409746445675e+02 5.702198173612880083e+01 9.710985192206559091e+00 6.800726787024882469e+02 9.005593341317045031e+01 1.647949350668702664e+02 7.099477237832974197e+02 3.112921351390658401e+03 8.870000000000000107e-01 6.799260547198178247e+05 6.612615509817414932e+02 3.089282969200066418e+03
1.100000000000000000e+01 1.249733593967459910e+02 5.702788964703828611e+01 3.625434344148917631e+00 6.472923096443014401e+02 9.003282937288881271e+01 1.714692082491359031e+02 1.291745579118616206e+03 3.223664435255438548e+03 8.870000000000000107e-01 4.869741196434451267e+05 1.241294035284053052e+03 3.209376555289613862e+03
1.200000000000000000e+01 1.249750065002291848e+02 5.703327161506126686e+01 4.263446892639285224e+00 6.494155827447435740e+02 8.996009883919411720e+01 1.693213470413210757e+02 1.273451427939400446e+03 3.327992891396830146e+03 8.870000000000000107e-01 1.218689383386469446e+06 1.221549552495379430e+03 3.314029035685824510e+03
1.300000000000000000e+01 1.250283100185852021e+02 5.702845005102688702e+01 3.309395983473633063e+00 6.566191277608855899e+02 8.985056031839150137e+01 1.687744149950305541e+02 7.098246914218855181e+02 3.238348367838920240e+03 8.870000000000000107e-01 4.101884948094971478e+05 6.599493732075655998e+02 3.215260913016034010e+03
1.400000000000000000e+01 1.249982883553897466e+02 5.705654189147203681e+01 2.322222541552244390e+00 6.529520233128914697e+02 8.996397051600244765e+01 1.679241756161154058e+02 1.023991797163287970e+03 3.782796497249280947e+03 8.870000000000000107e-01 9.455082484375173226e+05 9.654738131256813176e+02 3.765018927812671336e+03
