# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.059205206304036295e+02 4.878461550767062249e+01 6.462373764634515183e+00 6.290049293678318918e+02 8.999422986741080877e+01 1.970376887699462145e+02 3.704166299457313471e+03 1.531596393022598477e+03 -7.809999999999999432e+01 3.107547619232862256e+06 1.324956988026263843e+03 1.136898217062907406e+03
1.000000000000000000e+00 1.059403629915765208e+02 4.878212161677524961e+01 3.715299883568759842e+00 6.124354007383570888e+02 8.999768254664672895e+01 1.973341305488866624e+02 3.704000378597362214e+03 1.269555387898523122e+03 -7.809999999999999432e+01 1.685329598320388235e+06 1.068440177790168491e+03 1.083817491532463009e+03
2.000000000000000000e+00 1.059339408365696045e+02 4.878294914534235005e+01 5.126155092917790590e+00 6.218749410256541523e+02 8.998781656846485077e+01 1.974157106713077496e+02 3.703991005096630033e+03 1.354615127460539497e+03 -7.809999999999999432e+01 2.336595995598927140e+06 1.151457126878694453e+03 1.101385054863839741e+03
3.000000000000000000e+00 1.059402899535208746e+02 4.881706610229440457e+01 3.327964554656412055e+00 6.122608190271023432e+02 8.996660497747178908e+01 1.972852964657679706e+02 3.037927153313992221e+03 1.393360471345994938e+03 -7.809999999999999432e+01 2.481032527757889591e+06 1.052546489254527160e+03 1.761341558217024158e+03
4.000000000000000000e+00 1.059624680959064591e+02 4.881416865379407710e+01 1.139487725395857964e+01 6.936967306855373181e+02 8.989074906209923199e+01 1.971393320832472682e+02 3.038296523280616839e+03 1.100685113396241377e+03 -7.809999999999999432e+01 6.372941927977921441e+06 7.660559072722044220e+02 1.699959751054079788e+03
5.000000000000000000e+00 1.059224669469884219e+02 4.882858787763809971e+01 5.094615213696529032e+00 6.720350173204416251e+02 8.996398940040384673e+01 1.966790499205312130e+02 2.861897801145700214e+03 1.660989967593728124e+03 -7.809999999999999432e+01 3.961145174597902223e+06 1.278280603910392074e+03 1.988968979950760968e+03
6.000000000000000000e+00 1.059386057124662557e+02 4.884008728305380487e+01 3.842396830037492883e+00 6.284345786133565070e+02 8.987490877967751146e+01 1.971154983356124717e+02 2.602359417051774017e+03 1.496612118371376937e+03 -7.809999999999999432e+01 3.226045773888864089e+06 1.063302093335288873e+03 2.208075573755135338e+03
7.000000000000000000e+00 1.059276621074222504e+02 4.884034262370993673e+01 6.097707034164335127e+00 6.356620923458048082e+02 8.997406108470596564e+01 1.966773501109869926e+02 2.624732891940221634e+03 1.636465256545391867e+03 -7.809999999999999432e+01 3.655447183420775458e+06 1.205159574546480599e+03 2.215627672221886314e+03
8.000000000000000000e+00 1.059324820741270656e+02 4.884908119833922768e+01 1.184728540537945385e+01 6.772705638800644010e+02 9.028627127841060940e+01 1.971896028306144046e+02 2.447019300047915749e+03 1.605565789321249895e+03 -7.809999999999999432e+01 6.260136291314892471e+06 1.138396610376349599e+03 2.383902740038885895e+03
9.000000000000000000e+00 1.059392643778078451e+02 4.887713139006426388e+01 1.313557256745025903e+01 6.598981031922560305e+02 8.980492632733131586e+01 1.991999188185910725e+02 1.895375522808179767e+03 1.618058535846752648e+03 -7.809999999999999432e+01 7.083787157880013809e+06 1.036892508371039185e+03 2.926130193111940571e+03
1.000000000000000000e+01 1.059584182534840551e+02 4.886823344556232485e+01 9.458924684479301348e+00 7.163110735797356483e+02 8.994698677809473963e+01 1.962367630770557980e+02 2.017768988134965639e+03 1.343107754000469185e+03 -7.809999999999999432e+01 6.846495338947797194e+06 7.928222642676256555e+02 2.749115688628136013e+03
1.100000000000000000e+01 1.059551538620240052e+02 4.887296971425979564e+01 7.103983227931560229e+00 6.627800675483291570e+02 8.977922996741874329e+01 1.970194448915761711e+02 1.935576822081826549e+03 1.401659014739036820e+03 -7.809999999999999432e+01 4.800060096856551245e+06 8.328859742385842537e+02 2.841705345447657692e+03
1.200000000000000000e+01 1.059612002248087066e+02 4.887399725641003556e+01 9.521654166531670072e+00 6.668970208212092530e+02 9.014269002656490670e+01 1.961721711424015666e+02 1.900591588354365513e+03 1.327854102132240087e+03 -7.809999999999999432e+01 5.150302818491626531e+06 7.540027275065518779e+02 2.860215904714540557e+03
1.300000000000000000e+01 1.059704063942567984e+02 4.888020385877083385e+01 9.259066436427929148e+00 6.450814092912995648e+02 8.979993079427208613e+01 1.981534853418201010e+02 1.760332423891557482e+03 1.232821490992346071e+03 -7.809999999999999432e+01 4.462911540724650025e+06 6.317004336942417240e+02 2.978412498257762763e+03
1.400000000000000000e+01 1.059468145691761265e+02 4.888317097028224367e+01 1.008436605442531331e+01 6.590135473479401753e+02 8.981762649000906151e+01 1.962144224763028433e+02 1.761001519531403574e+03 1.543350482527059057e+03 -7.809999999999999432e+01 5.041095934331016615e+06 9.361088090690002446e+02 3.041443846737764488e+03
1.500000000000000000e+01 1.059166274676610442e+02 4.888723527124206214e+01 1.316513180775161551e+01 6.856910256831629340e+02 9.001715953180607244e+01 1.963904855150811670e+02 1.757704701183841507e+03 1.941858221278834662e+03 -7.809999999999999432e+01 6.752757755232410505e+06 1.325432111334925821e+03 3.127422004598007334e+03
1.600000000000000000e+01 1.059351827554272347e+02 4.889858717380937492e+01 1.437037382099106475e+00 6.255518147959484168e+02 8.974779468227868051e+01 1.951822170745768403e+02 1.495615646456108834e+03 1.746205599786399262e+03 -7.809999999999999432e+01 3.662752778207934648e+07 1.079438362201398149e+03 3.343080695348158315e+03
1.700000000000000000e+01 1.059380619843618376e+02 4.890376345587567641e+01 1.042061735618291785e+01 6.699960536742128170e+02 8.998541983252908949e+01 1.960314151969853640e+02 1.390050572384064708e+03 1.727458225439238277e+03 -7.809999999999999432e+01 4.098713224452752620e+06 1.039629394094890358e+03 3.442755767431865934e+03
1.800000000000000000e+01 1.059350487982063242e+02 4.889858194029651628e+01 1.427654728282802710e+00 6.255307268164531251e+02 8.977953863981691995e+01 1.950109198561041808e+02 1.496245781426890971e+03 1.747756493431940953e+03 -7.809999999999999432e+01 3.632021030614567548e+07 1.081176807060034434e+03 3.343011008106662757e+03
1.900000000000000000e+01 1.059565191284458052e+02 4.890228090694036922e+01 3.713211819209062181e+00 6.137867059022341891e+02 9.000092811280700289e+01 1.962335158169423153e+02 1.373005521234901607e+03 1.487982773006633806e+03 -7.809999999999999432e+01 1.127626056541931350e+06 8.011810628392180433e+02 3.409671336352484104e+03
2.000000000000000000e+01 1.059626108550207988e+02 4.890057914180398058e+01 9.175084377687861448e+00 7.230310402204281672e+02 8.955426538075015230e+01 1.973890740123275407e+02 1.390570953079782612e+03 1.404389964529549161e+03 -7.809999999999999432e+01 4.357138628847654909e+06 7.230560086038520922e+02 3.375257364213163328e+03
2.100000000000000000e+01 1.059537382515288044e+02 4.889985566268542527e+01 1.036582542705351528e+01 6.463562736223167349e+02 9.010808288537862154e+01 1.949933408915745474e+02 1.426159963765629527e+03 1.514184370200800231e+03 -7.809999999999999432e+01 4.366849713152011856e+06 8.383755337983332083e+02 3.363301135204488673e+03
2.200000000000000000e+01 1.059118143949742716e+02 4.891168406915493705e+01 1.630420025565092024e+00 6.265901701257859031e+02 8.963075736306090846e+01 1.977744764783475375e+02 1.303428006009675983e+03 2.089632549922801900e+03 -7.809999999999999432e+01 4.709833372906238772e+06 1.375853102554230873e+03 3.602590846081823656e+03
2.300000000000000000e+01 1.059028380140142076e+02 4.891048791504285731e+01 1.664974491861588302e+00 6.269736841829975447e+02 9.011082393506910648e+01 1.951003720386934503e+02 1.346627504938740231e+03 2.199431085132845055e+03 -7.809999999999999432e+01 5.560415778693774715e+06 1.492732881283598545e+03 3.581571065037133394e+03
