# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.578295728476529121e+02 6.630185838775560114e+01 7.233585154555053798e+00 8.499999232757508594e+01 8.997881793376201642e+01 1.278807402325735438e+02 2.017999325928581129e+03 1.920313579799498939e+03 -3.879999999999999716e+01 2.536397873502418101e+08 5.074541230494586443e+02 2.055202784875502402e+03
1.000000000000000000e+00 1.578487128888471602e+02 6.630871972036096906e+01 9.049501050152544579e+00 8.500848497934751435e+01 9.003657383921964197e+01 1.318219563187536494e+02 2.216101448847075972e+03 1.912136518658446448e+03 -3.879999999999999716e+01 9.081735134575871052e+05 6.568277266017462352e+02 1.924547151369396033e+03
2.000000000000000000e+00 1.578466346543523571e+02 6.631070422110401807e+01 1.063986920071747200e+01 8.500974123910420133e+01 9.063712682208692684e+01 1.317933345428012046e+02 2.227609809496669186e+03 1.871837704682365256e+03 -3.879999999999999716e+01 8.416554425254885573e+05 6.411181069629678859e+02 1.886184288862417588e+03
3.000000000000000000e+00 1.578510430377563409e+02 6.630603830289967959e+01 7.244182408405658080e+00 8.499999092620186047e+01 9.241633074938884818e+01 1.314485413478813882e+02 2.197248578663744865e+03 1.962942948744277373e+03 -3.879999999999999716e+01 2.198469809887896758e+06 6.743607013208473973e+02 1.976346027311951275e+03
4.000000000000000000e+00 1.578488448556290678e+02 6.630324590725868461e+01 3.592847943647763387e+00 8.499999749036338414e+01 8.996914352940770243e+01 1.306943203228805430e+02 2.149992374377519354e+03 1.994111446574693446e+03 -3.879999999999999716e+01 2.972402450134865940e+06 6.568384933352213011e+02 2.029945315479070359e+03
5.000000000000000000e+00 1.578462882623566088e+02 6.630093393179760142e+01 3.517932263659490300e+00 8.499999472879270002e+01 9.052647415017155197e+01 1.318145060351458255e+02 2.105897037755213205e+03 2.016054893731160064e+03 -3.879999999999999716e+01 7.106400117567599751e+06 6.366279853165426630e+02 2.074267566102452747e+03
6.000000000000000000e+00 1.578432063375625773e+02 6.630001220959363195e+01 3.527086468720078472e+00 8.499999601885842537e+01 8.909342674498238068e+01 8.775194823414355483e+01 2.076186869660087723e+03 2.014627593674431409e+03 -3.879999999999999716e+01 1.395599598663766496e+07 6.126072344005934838e+02 2.091782776286797343e+03
7.000000000000000000e+00 1.578189695602461882e+02 6.629721609660779791e+01 6.867123223782224173e+00 8.499997252995221686e+01 8.981327458274485309e+01 1.331738746469743546e+02 1.897058956379798474e+03 1.936831533108800613e+03 -3.879999999999999716e+01 2.372030934546317458e+08 4.245059402698034319e+02 2.143760169334093007e+03
8.000000000000000000e+00 1.578310331208371338e+02 6.629668412176826564e+01 3.665434228227653968e+00 8.499999435025299022e+01 9.070848665878784800e+01 1.318984144577034954e+02 1.962866098285804810e+03 2.004751360200371664e+03 -3.879999999999999716e+01 1.224892426621713117e+07 5.177707028682300461e+02 2.154935498698977881e+03
9.000000000000000000e+00 1.578252588136653287e+02 6.629588715190018888e+01 1.025346299454024646e+01 8.500850109886873440e+01 8.767131994533602324e+01 1.314160726204474656e+02 1.919158552577892124e+03 1.988222192727299671e+03 -3.879999999999999716e+01 7.515772571654468775e+05 4.729267015242085108e+02 2.169835201440253513e+03
