# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.716592042054442118e+02 -5.812472071531136208e+00 4.355251551461495119e+00 1.126922242655826807e+02 9.154027712582779941e+01 1.342053041850744819e+02 6.761879849235415350e+02 1.063919909291867498e+03 3.550000000000000000e+01 1.516982262139916886e+06 6.448906545762159794e+02 2.597662979622072044e+02
1.000000000000000000e+00 1.716848540058432775e+02 -5.832032085472617311e+00 3.599071604494979759e+00 1.109458637724915206e+02 9.018132649493000486e+01 1.356311742163937311e+02 1.294896566977796510e+03 1.085213366507568935e+03 3.550000000000000000e+01 2.789364953100064769e+06 1.136433559424860050e+03 6.360714896104266245e+02
2.000000000000000000e+00 1.716434707168320415e+02 -5.829684583507994233e+00 9.875276901051590173e+00 1.314360547748480030e+02 9.104640785194222019e+01 1.343677264617216167e+02 6.235216386209508528e+02 1.509135432150260613e+03 3.550000000000000000e+01 2.063341707047639182e+06 3.437413074820193515e+02 5.913618402086165133e+02
3.000000000000000000e+00 1.716398724807060034e+02 -5.831191062944483861e+00 3.379495188347623635e+00 1.106559392257775869e+02 9.049820614064414315e+01 1.351109096649398680e+02 5.843789674123660234e+02 1.572640523065094385e+03 3.550000000000000000e+01 3.242856873993063346e+06 2.748393164181732686e+02 6.204122308892932551e+02
4.000000000000000000e+00 1.717179158721670547e+02 -5.841732788035653101e+00 3.095869027750858038e+00 1.094956903999833315e+02 9.110537453847140910e+01 1.342875721581249309e+02 1.918788665903874517e+03 8.675121505161316691e+02 3.550000000000000000e+01 9.395769552253449336e+06 1.769801516247908467e+03 8.224953901763030899e+02
5.000000000000000000e+00 1.717097512745624215e+02 -5.876749022304988301e+00 3.043512237993666325e+00 1.093551107304057552e+02 9.039419915691871665e+01 1.348112805564066718e+02 2.183458158199909576e+03 1.508769808341546423e+03 3.550000000000000000e+01 1.143844548643142357e+07 1.613793413829040901e+03 1.496760855969651629e+03
6.000000000000000000e+00 1.717047262434083450e+02 -5.891595176088318730e+00 5.648980788140722353e+00 1.166122594227570346e+02 9.113964871832391168e+01 1.345264865745822362e+02 2.271758019842653994e+03 1.796971796526906019e+03 3.550000000000000000e+01 1.754118840145871509e+06 1.517712971619875361e+03 1.782652033048057092e+03
7.000000000000000000e+00 1.716857718895755340e+02 -5.895609483248019700e+00 4.682382062332005823e+00 1.078645702621985549e+02 8.995174613344808279e+01 1.353048270993231768e+02 2.020733650505859032e+03 2.071184344905318540e+03 3.550000000000000000e+01 9.591155594042877201e+05 1.154746833589840662e+03 1.860146813443187739e+03
8.000000000000000000e+00 1.716720792511964362e+02 -5.900295062435898963e+00 3.069158601584760504e+00 1.094205501019424958e+02 9.153503715128343288e+01 1.337803366271777463e+02 1.860040133511769682e+03 2.297383910377070606e+03 3.550000000000000000e+01 1.041092587411453575e+07 8.925637841918741060e+02 1.950516638813223835e+03
9.000000000000000000e+00 1.716686704454810695e+02 -5.906100717318238935e+00 1.148717195964814408e+01 1.312358787329295637e+02 9.000776521347972903e+01 1.357112234995602194e+02 1.871964249504889494e+03 2.425956333999389699e+03 3.550000000000000000e+01 1.814424607972447062e+06 8.273496816402893046e+02 2.062335357779813421e+03
1.000000000000000000e+01 1.716973870566205278e+02 -5.913403238708974108e+00 1.112649681005780877e+01 1.401993766259429606e+02 9.142370340762640524e+01 1.341960151533895385e+02 2.401056327971497012e+03 2.220205739203296616e+03 3.550000000000000000e+01 2.381170153222784400e+06 1.377395727011328290e+03 2.202609036700711840e+03
1.100000000000000000e+01 1.717002712291767068e+02 -5.933719149201174048e+00 1.006944075670645056e+01 1.337310309016986594e+02 8.994145787459684982e+01 1.356236248226120722e+02 2.672956350356668736e+03 2.506322544701665720e+03 3.550000000000000000e+01 1.619572898599329637e+06 1.432854436462158446e+03 2.593727109796232071e+03
1.200000000000000000e+01 1.716602303995329066e+02 -5.968067863004248963e+00 4.193639922460107528e+00 1.128359800427763702e+02 9.147528989758805551e+01 1.341303316469644074e+02 2.433367160872814111e+03 3.490557149526834110e+03 3.550000000000000000e+01 1.721071324980415171e+06 6.664793701261357910e+02 3.255514368796038980e+03
