# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.715354611231023227e+02 -6.293274129521210014e+00 3.304518866274651412e+00 1.027681405594604058e+02 9.120451509200827900e+01 1.379945379703010246e+02 5.166298034584912102e+02 1.197923614572141787e+03 3.860000000000000142e+01 2.230350886854197085e+07 4.783079101772205490e+02 2.288807534223554967e+02
1.000000000000000000e+00 1.715087785371737539e+02 -6.284981915838934619e+00 6.282603230580396492e+00 1.109063069133551949e+02 8.997978834408367277e+01 1.397299928625168377e+02 1.016085610629407142e+03 1.003852633970236070e+03 3.860000000000000142e+01 1.693237014431218617e+06 9.891393404641092957e+02 3.880205992476865049e+02
2.000000000000000000e+00 1.714965808251280350e+02 -6.281836791728727221e+00 4.742452712492111644e+00 1.070036669077600067e+02 9.111111304909854880e+01 1.388687042052135325e+02 1.236041285895775900e+03 9.049748573971693304e+02 3.860000000000000142e+01 1.484804154786378145e+06 1.222655412950787877e+03 4.483314447709237811e+02
3.000000000000000000e+00 1.714571531273429343e+02 -6.255990095018900909e+00 4.535411424610958697e+00 1.062755139976640066e+02 8.995643242578768195e+01 1.396570514954164537e+02 2.135786888109446863e+03 8.232424400622854819e+02 3.860000000000000142e+01 1.759315499284373131e+06 1.977826629676018911e+03 9.451586758442597329e+02
4.000000000000000000e+00 1.714889910797312496e+02 -6.250489499928166381e+00 5.087898277594987029e+00 1.080111981601174733e+02 9.111385488214328632e+01 1.388714901438456764e+02 1.726065932282765061e+03 1.286884414435502094e+03 3.860000000000000142e+01 1.394712650876401691e+06 1.368546682801694033e+03 1.051740876186272317e+03
5.000000000000000000e+00 1.715265587820206292e+02 -6.236121210919177926e+00 3.006498453471937893e+00 1.010131231085715768e+02 9.000160231573569547e+01 5.018074793649442000e+01 1.337996516167861046e+03 1.951998338121205506e+03 3.860000000000000142e+01 1.025274118002796359e+07 6.497569371434660752e+02 1.329133648848798202e+03
6.000000000000000000e+00 1.714620923819499865e+02 -6.220181230253255755e+00 8.485211349611386566e+00 1.191273400721738938e+02 9.105103829107743252e+01 1.389022289584385419e+02 2.492503177830202276e+03 1.420904906098108086e+03 3.860000000000000142e+01 1.626556714409288019e+06 1.884039354567715691e+03 1.634735335853390552e+03
7.000000000000000000e+00 1.715154391620121146e+02 -6.207207038429380930e+00 3.262044515252377597e+00 1.025551790662328244e+02 9.005963425655137655e+01 1.382032637703986211e+02 1.851448517436381735e+03 2.253964182884240927e+03 3.860000000000000142e+01 3.373659311055693775e+07 8.631477561698259251e+02 1.885630966386252567e+03
8.000000000000000000e+00 1.715455762743021637e+02 -6.206583816066255643e+00 6.721670949292536612e+00 1.124108804328355973e+02 9.117197718700288078e+01 1.389676852726406366e+02 1.408283455729161233e+03 2.623548901334053426e+03 3.860000000000000142e+01 1.504671024551353417e+06 2.862822066004304133e+02 1.898200150514616325e+03
9.000000000000000000e+00 1.715068662499593586e+02 -6.196772105898197935e+00 5.465704867087703533e+00 1.112016074805998755e+02 8.997813128282000150e+01 1.397518818402272984e+02 2.104958047437960886e+03 2.308021894353716561e+03 3.860000000000000142e+01 6.915436850022862200e+05 1.027451874843556425e+03 2.086376597211426542e+03
1.000000000000000000e+01 1.714568907516296292e+02 -6.187590061092374860e+00 3.940333723337761551e+00 1.044045494093283963e+02 9.103653261965065724e+01 1.388348502492521845e+02 2.962359396262103473e+03 1.848152851457012503e+03 3.860000000000000142e+01 2.220718295109072700e+06 1.984298338025834482e+03 2.262137716084556814e+03
1.100000000000000000e+01 1.715490512222071686e+02 -6.186036839816348554e+00 9.008104307533216115e+00 1.266999493463311097e+02 9.000480938471729075e+01 1.396443667956214938e+02 1.603990796329354907e+03 2.974050811107202662e+03 3.860000000000000142e+01 1.305435094013495604e+06 2.201341698626263224e+02 2.293871451937087841e+03
1.200000000000000000e+01 1.714764277710803810e+02 -6.153895716625736867e+00 5.420778060541769250e+00 1.085112225678529967e+02 9.102991336172647152e+01 1.388954164511793579e+02 3.075424047899886318e+03 2.588652648234699427e+03 3.860000000000000142e+01 1.595249213791760616e+06 1.610994989676168188e+03 2.911301993646403389e+03
1.300000000000000000e+01 1.714773516501622055e+02 -6.152725658879296233e+00 4.719495471403065245e+00 1.082192284929671189e+02 8.998192893792483460e+01 1.396227541915413326e+02 3.075969970180382461e+03 2.616937536309142615e+03 3.860000000000000142e+01 5.384667158325903583e+05 1.593332223441422684e+03 2.933849359288166852e+03
1.400000000000000000e+01 1.714883181589916603e+02 -6.124129896497663594e+00 3.861305016439943838e+00 1.041053560005296816e+02 9.110881043985749272e+01 1.388513341713597811e+02 3.256587461518332930e+03 3.178426881354911984e+03 3.860000000000000142e+01 1.861724869782581925e+06 1.383963823744772981e+03 3.484654532594451666e+03
