# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.444300036868488348e+02 3.006428233378847992e+01 3.156209107139745562e+00 6.168296748781627770e+01 9.037767189589158079e+01 1.701182423279057332e+02 4.102426645461317094e+03 4.602065828124440827e+02 -6.959999999999999432e+01 3.880593660319201881e+05 3.435871617733563426e+02 3.948157190507741348e+02
1.000000000000000000e+00 1.443474791005351108e+02 3.007030559589949448e+01 3.521402040197210148e+00 6.247280909177192143e+01 9.003634514871127692e+01 1.713633549595851093e+02 4.474459419432892901e+03 1.789035713590245905e+03 -6.959999999999999432e+01 3.821979404383591027e+05 1.718684311534464086e+03 5.107470718142681676e+02
2.000000000000000000e+00 1.443867869947271458e+02 3.007934860922470577e+01 1.559414375754790028e+00 5.778696872271335394e+01 9.035429155526625777e+01 1.697508530479505851e+02 4.081862793719187266e+03 1.235933072157790320e+03 -6.959999999999999432e+01 8.998226962579790503e+06 1.063726047423810542e+03 6.847602014407508477e+02
3.000000000000000000e+00 1.444034411977448542e+02 3.008770615112991109e+01 1.653493595292062857e+00 5.808255924220753030e+01 9.008322883130196601e+01 1.711941827439365795e+02 3.833715508123514155e+03 1.031756562463915770e+03 -6.959999999999999432e+01 1.063007167226624442e+06 7.862801518832086458e+02 8.457022665109969921e+02
4.000000000000000000e+00 1.444008028504306935e+02 3.009255020870212860e+01 1.911823964818314181e+00 5.877843048332811549e+01 9.033490563610369861e+01 1.703785528769304278e+02 3.761291837474433123e+03 1.105813114051290768e+03 -6.959999999999999432e+01 5.684743111214711098e+05 8.302461960750962362e+02 9.389641833974303609e+02
5.000000000000000000e+00 1.444272744857405542e+02 3.010414441337055536e+01 1.678069574123194130e+00 5.799700785872600051e+01 9.006493300503626642e+01 1.711503733638685105e+02 3.399371865063323185e+03 7.704156025743527607e+02 -6.959999999999999432e+01 9.885474114204880316e+05 3.893511646338045580e+02 1.162312019026015150e+03
6.000000000000000000e+00 1.443677644044854844e+02 3.011531628816016593e+01 1.920530630834171415e+00 5.863265300748192743e+01 9.035537122829727252e+01 1.702977884090620933e+02 3.543165487660504823e+03 1.774530259052144174e+03 -6.959999999999999432e+01 5.623444272525224369e+05 1.380549966934295526e+03 1.377309500314440356e+03
7.000000000000000000e+00 1.443444249045096228e+02 3.013349066533836762e+01 1.537959384975056354e+00 5.772323799311262604e+01 9.030002066161861762e+01 1.698934393016777449e+02 3.349983392098583863e+03 2.260662633631966855e+03 -6.959999999999999432e+01 7.090143673991060816e+06 1.769134210474007887e+03 1.727338430515915206e+03
8.000000000000000000e+00 1.444427082145735710e+02 3.014452462447702530e+01 1.955555495110264497e+00 5.872266626429875913e+01 9.001780806421197667e+01 1.710801787718870344e+02 2.580296258773272257e+03 8.008684468955802913e+02 -6.959999999999999432e+01 5.350694984126654454e+05 1.326750472477486937e+02 1.939905575398287965e+03
9.000000000000000000e+00 1.443492626648832129e+02 3.016833148343736326e+01 1.845280326527402481e+00 5.833613728388458952e+01 9.039155837213063194e+01 1.701512641620384159e+02 2.693563222630388736e+03 2.418741603767474317e+03 -6.959999999999999432e+01 6.581234876894480549e+05 1.688364199892047964e+03 2.398132748466487101e+03
1.000000000000000000e+01 1.444336874156028898e+02 3.023349315598540699e+01 1.537218270751517846e+00 5.753673954540268909e+01 9.008761019167286577e+01 1.709675484029593235e+02 1.028027019627119444e+03 1.539325062442195303e+03 -6.959999999999999432e+01 7.539443172894342802e+06 2.836047639082485148e+02 3.652811993561173949e+03
1.100000000000000000e+01 1.444260266407040945e+02 3.025290243508748844e+01 1.902042839163322840e+00 5.857276312568338739e+01 9.037650320252402025e+01 1.703780298220886209e+02 7.216747958680483634e+02 1.789001198097966835e+03 -6.959999999999999432e+01 5.806524753809057875e+05 4.111728756198194787e+02 4.026458893958010776e+03
1.200000000000000000e+01 1.443487619893681995e+02 3.023819647839981073e+01 1.763131791281778327e+00 5.807300774151539002e+01 9.011153556495902706e+01 1.713447206134113401e+02 1.435634842595285591e+03 2.894869667953567841e+03 -6.959999999999999432e+01 6.897829455706120934e+05 1.696263364069119689e+03 3.743292942740702074e+03
