# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.551068105602788023e+02 5.803838320108691384e+00 1.886755175064586343e+00 1.409126278615314902e+02 8.985563727118429256e+01 1.461506470202172636e+02 2.672407337135485932e+02 1.824733330528981014e+03 8.109999999999999432e+01 2.271497790072193835e+06 2.998208493622291826e+02 2.229593296139907181e+02
1.000000000000000000e+00 1.550436642196964385e+02 5.807306982614022672e+00 1.863828168239516581e+00 1.412558336153570906e+02 8.990324483622502783e+01 1.461226509505260935e+02 5.210566324888297913e+02 6.404163125698755721e+02 8.109999999999999432e+01 3.745880266874600202e+06 1.509348208111211534e+03 2.904279535349901948e+02
2.000000000000000000e+00 1.550752504921036348e+02 5.816218448176862843e+00 6.819784192703902903e+00 1.570648263395238189e+02 9.007120661188963595e+01 1.461045130916303663e+02 5.968104846889721102e+02 1.264723935493108229e+03 8.109999999999999432e+01 5.087233869759107474e+05 9.042131542694570498e+02 4.616461203833098921e+02
3.000000000000000000e+00 1.550807111081226708e+02 5.818514294612253224e+00 1.893704190675409293e+00 1.410399929211293397e+02 8.964626384425912420e+01 1.451686782386493064e+02 6.235214111681879103e+02 1.374461552643538653e+03 8.109999999999999432e+01 3.033917216233100742e+06 7.995917606250635572e+02 5.057905086204771123e+02
4.000000000000000000e+00 1.550807347273926098e+02 5.819294281825169612e+00 1.874770830216950346e+00 1.410021002098257270e+02 9.006703566255181670e+01 1.470395521231802434e+02 6.383956765474224540e+02 1.377747693449259032e+03 8.109999999999999432e+01 4.131035037529652938e+06 7.991306675615792301e+02 5.208077695471118886e+02
5.000000000000000000e+00 1.550384705035768036e+02 5.821312551445208427e+00 2.461096882455837243e+00 1.429732208862236007e+02 8.964672709324636912e+01 1.453765633153258818e+02 8.022836742908529004e+02 5.842321982556264857e+02 8.109999999999999432e+01 5.084632136502807261e+05 1.608657346907025385e+03 5.601483202568276738e+02
6.000000000000000000e+00 1.550420600966807285e+02 5.834901364499209819e+00 1.890315994742412853e+00 1.413330513621490354e+02 9.003876942712514619e+01 1.467695450094978185e+02 1.050451397827913524e+03 6.927767567548007719e+02 8.109999999999999432e+01 7.904339985837134533e+06 1.539730547450969652e+03 8.217384774078711871e+02
7.000000000000000000e+00 1.550247872047027613e+02 5.859259352968645196e+00 6.815688403633518355e+00 1.604880884602994513e+02 8.969707074167185112e+01 1.454915894726384522e+02 1.565231860832586563e+03 4.385337508166921339e+02 8.109999999999999432e+01 5.261894328076695092e+05 1.870258153640184446e+03 1.290929701410901316e+03
8.000000000000000000e+00 1.550225938135268393e+02 5.873347661136303799e+00 2.284477061382106822e+00 1.429857118811888483e+02 8.999244005381905254e+01 1.470752496030051759e+02 1.839701565433397491e+03 4.391067461427730336e+02 8.109999999999999432e+01 5.581542418876804877e+05 1.912083123851210757e+03 1.562207448683320763e+03
9.000000000000000000e+00 1.550288792134765004e+02 5.878166782454848693e+00 2.336263677229776015e+00 1.428171647807454576e+02 8.969177165361159609e+01 1.457177271010496042e+02 1.912545979769476389e+03 5.727159132605856939e+02 8.109999999999999432e+01 4.936599122020530631e+05 1.791637822980061173e+03 1.654912920658166513e+03
