# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 2.009465021350358995e+02 -9.906130890607375505e+00 1.444460675981461772e+00 7.159152083574029746e+01 8.716031626861945369e+01 1.523316414835950070e+02 3.159841928528411245e+03 7.639488981156687259e+02 -1.819999999999999929e+01 1.591326417752741836e+07 1.862125040217015794e+03 1.915885608241871410e+02
1.000000000000000000e+00 2.009513211310186875e+02 -1.007822117557932273e+01 7.552201007250006981e+00 8.000878314253301937e+01 9.000643594418980342e+01 1.632064090767331948e+02 2.205976341657209559e+03 3.962944944477790614e+03 -1.819999999999999929e+01 4.775569644213889260e+05 1.954478666121119659e+03 3.529012602745107870e+03
2.000000000000000000e+00 2.009466266069611891e+02 -1.008326516993263056e+01 1.642464580254217488e+00 7.198844486075746829e+01 8.686761538404719829e+01 1.532091054700263442e+02 2.089310866438825542e+03 4.027845029271336898e+03 -1.819999999999999929e+01 5.986278259677391034e+05 1.863491775382175092e+03 3.626240137218698692e+03
3.000000000000000000e+00 2.009349602501311267e+02 -1.008437711072037501e+01 8.269493615524512009e+00 8.000909722370330712e+01 9.051887561679063765e+01 1.643729752335918022e+02 1.868052498119966003e+03 3.975514339484877382e+03 -1.819999999999999929e+01 5.493577845077133970e+05 1.637451591627918333e+03 3.646377388451167462e+03
4.000000000000000000e+00 2.009308267508166068e+02 -1.012307547142521891e+01 2.542500451835743025e+00 7.420100562445036019e+01 8.614893136596661805e+01 1.495083931343540087e+02 1.558451684800892508e+03 4.663538100707995000e+03 -1.819999999999999929e+01 3.610783566926862299e+07 1.557173958117895836e+03 4.396234061024146285e+03
5.000000000000000000e+00 2.009349026756530066e+02 -1.013044789253457445e+01 6.769010979894824587e+00 7.999099126972440388e+01 9.078985467650920782e+01 1.672785607531885432e+02 1.587291894043009506e+03 4.823875096365274658e+03 -1.819999999999999929e+01 4.172881000637470279e+05 1.636096627163235780e+03 4.539679538888630304e+03
6.000000000000000000e+00 2.009437278473157846e+02 -1.011338033076039622e+01 4.335847651712110284e+00 8.001649990194330542e+01 8.833052557122050530e+01 1.507545786746144358e+02 1.853178340458859566e+03 4.564499136884956897e+03 -1.819999999999999929e+01 4.823362158454976161e+05 1.807156101878924574e+03 4.209815768496801866e+03
7.000000000000000000e+00 2.009255781224830173e+02 -1.010973260629432069e+01 1.766579294346164009e+00 7.262846728147017927e+01 8.859458903582110167e+01 1.588639034871906688e+02 1.542687098844892262e+03 4.385120145702044283e+03 -1.819999999999999929e+01 4.684847649312722497e+05 1.455556417082382268e+03 4.136880756728173765e+03
8.000000000000000000e+00 2.009409181824056816e+02 -1.009700713273403494e+01 1.512391572083094049e+00 7.194200531926284725e+01 8.824529371516884169e+01 1.578837662759101477e+02 1.901624794745333475e+03 4.245183028428109537e+03 -1.819999999999999929e+01 1.101588386005962268e+06 1.752815345053992132e+03 3.891998241221373064e+03
9.000000000000000000e+00 2.009531145324953059e+02 -1.010220346590462981e+01 2.157831599535249278e+00 7.397117365411575918e+01 8.862481673998489384e+01 1.591871840494242463e+02 2.092851108367402503e+03 4.416359454827571426e+03 -1.819999999999999929e+01 3.627162787266218220e+05 1.989075000268495614e+03 3.994246198347578684e+03
