# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 2.538054465842346872e+02 -1.000991067858442385e+01 4.212513490346513123e+00 5.287289129661766083e+02 9.053089510218876512e+01 7.853404094263829904e+01 4.092593895926202094e+03 1.640316703868106742e+03 -6.979999999999999716e+01 1.733404082032767590e+06 1.447229090380911657e+03 8.146872272578634693e+02
1.000000000000000000e+00 2.538109574259241299e+02 -1.004860206371231968e+01 1.710885392851684283e+00 5.221432436877338432e+02 9.000477662405772605e+01 7.924506423851713066e+01 3.430436410417376464e+03 1.994449709257816721e+03 -6.979999999999999716e+01 3.224516852502048016e+06 1.550877384457957305e+03 1.559781651878879075e+03
2.000000000000000000e+00 2.537567400019233332e+02 -1.003179494215339496e+01 6.174604854015725230e+00 5.309903085054213534e+02 9.009352509300720158e+01 7.858181460982012823e+01 3.379949478240059761e+03 9.178111257816946136e+02 -6.979999999999999716e+01 1.647947277483781800e+06 5.232934244677885545e+02 1.235138738990754518e+03
3.000000000000000000e+00 2.537884097680703803e+02 -1.004815188765568301e+01 1.894672312841346296e+00 5.221516594275092302e+02 9.041397749415119733e+01 7.864036605310239736e+01 3.291795476088966552e+03 1.590502670314644547e+03 -6.979999999999999716e+01 2.199912145331752487e+06 1.123409739781616736e+03 1.550663468132425123e+03
4.000000000000000000e+00 2.537618182487362333e+02 -1.003359912299395518e+01 7.374412092016787490e+00 5.314319948800413158e+02 9.005577916006596695e+01 7.919143721356088861e+01 3.381340090387257078e+03 1.020564477527607778e+03 -6.979999999999999716e+01 2.097905536441918463e+06 6.195414964856403230e+02 1.269966524857794866e+03
5.000000000000000000e+00 2.537666118231022381e+02 -1.003531786338013454e+01 4.044306382147730972e+00 5.211242597852910876e+02 9.003940200290242046e+01 7.866978658171777283e+01 3.380929291512028158e+03 1.116709884433218576e+03 -6.979999999999999716e+01 1.100505199196582893e+06 7.103929219447679770e+02 1.303145573091960614e+03
6.000000000000000000e+00 2.537884783588221467e+02 -1.004812027883441772e+01 1.895043676013465239e+00 5.221359746708778857e+02 9.046809104135463997e+01 7.857449856083344741e+01 3.291607151899562268e+03 1.591293703257548941e+03 -6.979999999999999716e+01 2.200257683425931726e+06 1.124710784098346721e+03 1.550056186859057561e+03
7.000000000000000000e+00 2.537663018098850785e+02 -1.008679905102426311e+01 1.237499972170281737e+01 5.748769296282029018e+02 8.998507928000724121e+01 7.927440376084575746e+01 2.448472010064542701e+03 1.453305081226066932e+03 -6.979999999999999716e+01 3.310478703086635098e+06 7.035327220111946644e+02 2.294370555061609593e+03
8.000000000000000000e+00 2.537734661453461911e+02 -1.008933372676917450e+01 1.483463090378914195e+01 6.007183034557968995e+02 9.023394873619190548e+01 7.852994072610790965e+01 2.449422873409266231e+03 1.596950674242436435e+03 -6.979999999999999716e+01 4.140784772047257051e+06 8.392930515203285040e+02 2.343304735509453621e+03
9.000000000000000000e+00 2.537692014881289708e+02 -1.009974419635072707e+01 4.727442418712469951e+00 5.364154062410805182e+02 9.018679922983530162e+01 7.890316382188969158e+01 2.233139977177159835e+03 1.590618272303389404e+03 -6.979999999999999716e+01 1.783891442706909962e+06 7.582507369761036671e+02 2.543670239338046485e+03
