# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 2.567482383868803595e+02 -1.338952405096615195e+01 7.404392463834629012e+00 1.554750810871846625e+02 9.066428710470142960e+01 1.178939689052885882e+02 1.771485577360180514e+03 3.542941192041789122e+02 -5.019999999999999574e+00 2.496668154031523736e+05 1.388991074337737473e+03 2.335733289501953323e+02
1.000000000000000000e+00 2.567509112538471072e+02 -1.338776067390603686e+01 7.083657267610766084e+00 1.571740829884798245e+02 8.960934961179144409e+01 1.150475007131884837e+02 1.823479868006891593e+03 3.253802882074533045e+02 -5.019999999999999574e+00 2.708743946082950570e+05 1.438981933053079501e+03 1.995113442963245518e+02
2.000000000000000000e+00 2.567776686483432513e+02 -1.338557488175963428e+01 6.157037419415928525e+00 1.552557630924910654e+02 8.923880986809737692e+01 1.196202517056794790e+02 2.327078683813359476e+03 3.263518780625240652e+02 -5.019999999999999574e+00 2.053185021552898688e+05 1.940096437468188242e+03 1.563566279361694171e+02
3.000000000000000000e+00 2.566894033770196870e+02 -1.339298297051364806e+01 1.075756016015022354e+01 1.804824827413877699e+02 9.096262113566561425e+01 1.213113224417124911e+02 6.659124184547334835e+02 3.270153224617855585e+02 -5.019999999999999574e+00 2.911157774624007288e+05 2.870865667706424347e+02 3.027266694905678150e+02
4.000000000000000000e+00 2.567086795696548052e+02 -1.339518846283743869e+01 6.188921566862178203e+00 1.653964279349114292e+02 8.993212154425125959e+01 1.138158672777879588e+02 1.023009323994716283e+03 3.998301816692563193e+02 -5.019999999999999574e+00 1.766742275110419141e+05 6.482579349449734991e+02 3.443255697020371713e+02
5.000000000000000000e+00 2.566964047224481646e+02 -1.340374144687375768e+01 2.320014935102048259e+00 4.851930383990296747e+01 1.220816960397152258e+02 1.177666870541668800e+02 7.799437418838775784e+02 5.439340747512856069e+02 -5.019999999999999574e+00 9.729092328744998667e+05 4.187388686866522676e+02 5.095546280157500973e+02
6.000000000000000000e+00 2.567695782694048035e+02 -1.342287462623465188e+01 6.483775171623483935e+00 1.430522196176371779e+02 8.882790969006629211e+01 6.374820873040368241e+01 2.114173712225365762e+03 1.028156795623134713e+03 -5.019999999999999574e+00 4.097736540413404000e+05 1.790093927003873432e+03 8.748421363557054065e+02
7.000000000000000000e+00 2.567334023659610693e+02 -1.342841647345453282e+01 2.188936878894062410e+00 4.945513418403081829e+01 1.218288332499405584e+02 1.175711495185249902e+02 1.429635351252202554e+03 1.077328004042986549e+03 -5.019999999999999574e+00 1.070486096818096848e+05 1.112811515845746953e+03 9.830295503880658998e+02
8.000000000000000000e+00 2.567727175330674640e+02 -1.343175593219153718e+01 5.835152504812378460e+00 1.604780829494421539e+02 8.998289565399761614e+01 6.384009036567826456e+01 2.158992689901108861e+03 1.203963290977911356e+03 -5.019999999999999574e+00 4.880874065098693245e+05 1.849252992275148699e+03 1.045717758162958944e+03
9.000000000000000000e+00 2.567184062372718358e+02 -1.343521783984314411e+01 1.772338009677666859e+00 4.910393425832377545e+01 1.222848624206948784e+02 1.177758646689020452e+02 1.138491589078245852e+03 1.183907995003421547e+03 -5.019999999999999574e+00 3.967165230685246643e+05 8.322667734345374129e+02 1.114628147120919948e+03
