object,L,a
2015_VR64_1,365,-89.4
2015_XA169_4,173,36.5
2015_XD169_2,73.6,43.9
2015_XD169_4,73.6,43.9
2015_XR169_3,253,63.7
2015_XV1_3,164,-68.9
2015_XV1_5,164,-68.9
2015_XY261_5,147,-5.48
2016_BA15_3,646,0.887
2016_CD31_1,370,65.4
2016_CD31_2,370,65.4
2016_CE194_2,85,-38.8
2016_CE_3,609,-78.1
2016_CG18_5,360,-29.1
2016_CK31_5,187,60.1
2016_CN194_2,85,-38.8
2016_CW30_2,291,86.66
2016_EL157_2,103,35.5
2016_EN156_3,101,38.6
2016_EU84_2,54.4,-69.6
2016_EV84_2,142,81.1
2016_FF14_3,80,-18.2
2016_GE1_2,225,-28.5
2016_GG1_2,99,54.7
2016_LT1_1,516,-69.8
2016_LT1_2,516,-69.8
2016_NM15_1,148,-5.02
